Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
384,CLS35CLP70L3,Urban Observed,Subsurface,HR 1,45,70,25,45,^C2u,C,Elnora,,,,No,Yes,l,loam,49.75,0.504563895,40.58,0.416632444,9.67,0.102545069,,,30,"sandstone, bituminous, brick",,,No,,,,,,NA,,,NA,,NA,0.39,,0.39,loam,1.992,0.069,0.3991,0.0111,1.4737,100,C,Elnora,,NA,single grain,,
385,CLS35CLP70L4,Urban Observed,Subsurface,,70,80,10,,^C3u,C,Elnora,,,,No,Yes,scl,sandy clay loam,,NA,,NA,,NA,,,15,sandstone,,,No,,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Elnora,,NA,single grain,,
386,CLS35CLP70L5,Urban Observed,Subsurface,,80,115,35,,^C4u,C,Elnora,,,,No,Yes,l,loam,,NA,,NA,,NA,,,30,"slag, macadam",,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
387,CLS35CLP70L6,Urban Observed,Subsurface,,115,217,102,,2C5,C,Elnora,,,,No,No,sc,sandy clay,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,sandyClay,10.32,0.1169,0.3854,0.0334,1.2067,0,C,Elnora,,NA,single grain,,
388,CLS35CLP70L7,Urban Observed,Subsurface,,217,270,53,,3R,R,Elnora,,,,No,No,**R,**R,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,R,Elnora,,NA,NA,,
389,CLS35CLP71L1,Urban Observed,Surface,Surface,0,18,18,,^Au,A,Elnora,A1,18,Anthropogenic over Till over Residual,No,Yes,sl,sandy loam,69.24,0.702231237,24.17,0.248151951,6.59,0.069883351,,,25,pink sandstone,,,No,,,,,,NA,,,NA,,NA,1.43,1.43,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Elnora,A1,weak,fine granular structure,,
390,CLS35CLP71L2,Urban Observed,Subsurface,,18,30,12,,^C1,C,Elnora,,,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 3/2; 10YR 5/6,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
391,CLS35CLP71L3,Urban Observed,Subsurface,,30,65,35,,^C2,C,Elnora,,,,No,Yes,fsl,fine sandy loam,,NA,,NA,,NA,,,15,sandstone,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
392,CLS35CLP71L4,Urban Observed,Subsurface,HR 1,65,90,25,65,^C3,C,Elnora,,,,No,Yes,sl,sandy loam,51.29,0.520182556,31.96,0.328131417,16.75,0.177624602,,,0,,,,No,,,,,,NA,,,NA,,NA,0.3,,0.3,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,C,Elnora,,NA,single grain,,
393,CLS35CLP71L5,Urban Observed,Subsurface,,90,120,30,,2C4,C,Elnora,,,,No,No,l,loam,,NA,,NA,,NA,,,10,sandstone,,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
394,CLS35CLP71L6,Urban Observed,Subsurface,,120,140,20,,2C5,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
395,CLS35CLP71L7,Urban Observed,Subsurface,,140,200,60,,2C6,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,30,"sandstone, shale",,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
396,CLS35CLP71L8,Urban Observed,Subsurface,,200,205,5,,2C7,C,Elnora,,,,No,No,lcos,loamy coarse sand,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,
397,CLS35CLP71L9,Urban Observed,Subsurface,,205,260,55,,2C8,C,Elnora,,,,No,No,l,loam,,NA,,NA,,NA,,,30,sandstone,,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
398,CLS35CLP71L10,Urban Observed,Subsurface,,260,290,30,,3C9,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
399,CLS35CLP71L11,Urban Observed,Subsurface,,290,310,20,,3Cr,C,Elnora,,,,No,No,**R,**R,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Elnora,,NA,single grain,,
401,CLS36CLP72L1,Urban Observed,Surface,Surface,0,,,,surface,,Elnora,,,NA,No,No,ND,NA,,NA,,NA,,NA,,,,,,,No,,,,,,NA,,,NA,,NA,1.55,1.55,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,,Elnora,,NA,NA,,
402,CLS36CLP72L2,Urban Observed,Subsurface,HR 1,,,,0,HR,,Elnora,,,NA,No,No,ND,NA,,NA,,NA,,NA,,,,,,,No,,,,,,NA,,,NA,,NA,0,,0,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,,Elnora,,NA,NA,,
403,CLS36CLP73L1,Urban Observed,Surface,Surface,0,25,25,,^Au,A,Elnora,A1,25,Anthropogenic over Lacustrine over Till over Residual,No,Yes,l,loam,67.22,0.681744422,25.97,0.266632444,6.81,0.072216331,,,25,"shale, slate, wood",,,No,,,,,,NA,,,NA,,NA,0.18,0.18,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Elnora,A1,weak,fine granular structure,,
404,CLS36CLP73L2,Urban Observed,Subsurface,,25,35,10,,^C1u,C,Elnora,,,,No,Yes,ls,loamy sand,,NA,,NA,,NA,,,30,sandstone,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,
405,CLS36CLP73L3,Urban Observed,Subsurface,,35,45,10,,^C2u,C,Elnora,,,,No,Yes,**R,"**slag,coal",,NA,,NA,,NA,,,100,"slag, coal",,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Elnora,,NA,single grain,,
406,CLS36CLP73L4,Urban Observed,Subsurface,HR 1,45,75,30,45,^C3,C,Elnora,,,,No,Yes,cl,clay loam,58.4,0.592292089,31.48,0.323203285,10.13,0.107423118,,,0,,,,Yes,5YR 4/4,,,,,NA,,,NA,,NA,0.24,,0.24,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,100.01,C,Elnora,,NA,single grain,,
407,CLS36CLP73L5,Urban Observed,Subsurface,,75,85,10,,^C4,C,Elnora,,,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 5/6; 10YR 6/1,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
408,CLS36CLP73L6,Urban Observed,Subsurface,,85,108,23,,^C5u,C,Elnora,,,,No,Yes,scl,sandy clay loam,,NA,,NA,,NA,,,10,slag,,,Yes,10YR 4/6,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Elnora,,NA,single grain,,
409,CLS36CLP73L7,Urban Observed,Subsurface,,108,138,30,,2Cg,C,Elnora,,,,No,No,sc,sandy clay,,NA,,NA,,NA,,,0,,,,Yes,10YR 6/8,,,,,NA,,,NA,,NA,,,,sandyClay,10.32,0.1169,0.3854,0.0334,1.2067,0,C,Elnora,,NA,single grain,,
410,CLS36CLP73L8,Urban Observed,Subsurface,,138,160,22,,2C6,C,Elnora,,,,No,No,c/ls,clay/loamy sand,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,clay,1.768,0.0982,0.4588,0.015,1.2529,0,C,Elnora,,NA,single grain,,
411,CLS36CLP73L9,Urban Observed,Subsurface,,160,172,12,,3C7,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,20,shale,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
412,CLS36CLP73L10,Urban Observed,Subsurface,,172,180,8,,4C8,C,Elnora,,,,No,No,cosl,coarse sandy loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
413,CLS36CLP73L11,Urban Observed,Subsurface,,180,218,38,,5C9,C,Elnora,,,,No,No,vfsl,very fine sandy loam,,NA,,NA,,NA,,,10,gravel,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
414,CLS36CLP73L12,Urban Observed,Subsurface,,218,232,14,,5C10,C,Elnora,,,,No,No,cosl,coarse sandy loam,,NA,,NA,,NA,,,10,gravel,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
415,CLS36CLP73L13,Urban Observed,Subsurface,,232,250,18,,6C11,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
416,CLS36CLP73L14,Urban Observed,Subsurface,,250,290,40,,6R,R,Elnora,,,,No,No,**R,**R,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,R,Elnora,,NA,NA,,
417,CLS36CLP74L1,Urban Observed,Surface,Surface,0,60,60,,^Au,A,Elnora,A1,60,Anthropogenic over Till over Lacustrine over Residual,No,Yes,sl,sandy loam,67.22,0.681744422,25.97,0.266632444,6.81,0.072216331,,,35,"slag, sandstone, bituminouos",,,No,,,,,,NA,,,NA,,NA,0.18,0.18,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Elnora,A1,weak,fine granular structure,,
418,CLS36CLP74L2,Urban Observed,Subsurface,HR 1,60,85,25,60,^Cg1,C,Elnora,,,,No,Yes,sl,sandy loam,58.4,0.592292089,31.48,0.323203285,10.13,0.107423118,,,0,,,,Yes,5YR 4/6,,,,,NA,,,NA,,NA,0.24,,0.24,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100.01,C,Elnora,,NA,single grain,,
419,CLS36CLP74L3,Urban Observed,Subsurface,,85,110,25,,2Cg2,C,Elnora,,,,No,No,scl,sandy clay loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 5/6,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Elnora,,NA,single grain,,
420,CLS36CLP74L4,Urban Observed,Subsurface,,110,185,75,,2C1,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,30,"shale, rounded gravels",,,Yes,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
421,CLS36CLP74L5,Urban Observed,Subsurface,,185,200,15,,3C2,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 6/3; 10YR 4/6,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
422,CLS36CLP74L6,Urban Observed,Subsurface,,200,226,26,,4C3,C,Elnora,,,,No,No,l,loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
423,CLS36CLP74L7,Urban Observed,Subsurface,,226,290,64,,5C4,C,Elnora,,,,No,No,l,loam,,NA,,NA,,NA,,,40,"shale, rounded gravels",,,Yes,10YR 5/6; 10YR 4/4,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
424,CLS36CLP74L8,Urban Observed,Subsurface,,290,310,20,,5Cr,C,Elnora,,,,No,No,scl,sandy clay loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Elnora,,NA,single grain,,
426,CLS37CLP75L1,Urban Observed,Surface,Surface,0,24,24,,^Au,A,Elnora,A1,24,Anthropogenic over Till,No,Yes,l,loam,38.9,0.394523327,43.12,0.442710472,17.98,0.190668081,,,30,"gravel, sandstone, brick",,,No,,,,,,NA,,,NA,,NA,0.52,0.52,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Elnora,A1,weak,fine granular structure,,
427,CLS37CLP75L2,Urban Observed,Subsurface,HR 1,24,114,90,24,^C1u,C,Elnora,,,,No,Yes,cl,clay loam,34.4,0.348884381,44.98,0.461806982,20.62,0.218663839,,,30,"tile, shale, brick",,,No,,,,,,NA,,,NA,,NA,0.1,,0.1,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,100,C,Elnora,,NA,single grain,,
428,CLS37CLP75L3,Urban Observed,Subsurface,,114,175,61,,2C2,C,Elnora,,,,No,No,cl,clay loam,,NA,,NA,,NA,,,10,ironstone,,,No,,,,,,NA,,,NA,,NA,,,,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,0,C,Elnora,,NA,single grain,,
429,CLS37CLP76L1,Urban Observed,Surface,Surface,0,23,23,,^A1u,A,Elnora,A1,23,Anthropogenic over Outwash over Residual,No,Yes,l,loam,52.44,0.531845842,32.99,0.338706366,14.57,0.154506893,,,25,"sandstone, shale",,,No,,,,,,NA,,,NA,,NA,1.55,1.55,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Elnora,A1,weak,fine granular structure,,
430,CLS37CLP76L2,Urban Observed,Subsurface,,23,42,19,,^A2u,A,Elnora,A1,19,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,30,"glass, slag",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,A,Elnora,A1,weak,fine granular structure,,
431,CLS37CLP76L3,Urban Observed,Subsurface,,42,62,20,,^A3,A,Elnora,A1,20,,No,Yes,l,loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,A,Elnora,A1,weak,fine granular structure,,
432,CLS37CLP76L4,Urban Observed,Subsurface,HR 1,62,144,82,62,2C1,C,Elnora,,,,No,No,ls,loamy sand,73.04,0.740770791,22.53,0.231314168,4.44,0.047083775,,,0,,,,No,,,,,,NA,,,NA,,NA,0.01,,0.01,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,100.01,C,Elnora,,NA,single grain,,
433,CLS37CLP76L5,Urban Observed,Subsurface,,144,158,14,,3C2,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,25,"sandstone, shale",,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
434,CLS37CLP76L6,Urban Observed,Subsurface,,158,185,27,,4C3,C,Elnora,,,,No,No,ls,loamy sand,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,
435,CLS37CLP76L7,Urban Observed,Subsurface,,185,205,20,,4C4,C,Elnora,,,,No,No,cosl,coarse sandy loam,,NA,,NA,,NA,,,5,gravel,,,Yes,10YR 5/4,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
436,CLS37CLP76L8,Urban Observed,Subsurface,,205,240,35,,5C,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,30,shale,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
437,CLS37CLP76L9,Urban Observed,Subsurface,,240,340,100,,5R,R,Elnora,,,,No,No,**R,**R,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,R,Elnora,,NA,NA,,
439,CLS38CLP77L1,Urban Observed,Surface,Surface,0,30,30,,^Au,A,Elnora,A1,30,Anthropogenic over Residual,No,Yes,sl,sandy loam,61.62,0.62494929,26.81,0.275256674,11.56,0.122587487,,,25,"sandstone, brick, concrete",,,No,,,,,,NA,,,NA,,NA,1.15,1.15,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,99.99,A,Elnora,A1,weak,fine granular structure,,
440,CLS38CLP77L2,Urban Observed,Subsurface,HR 1,30,70,40,30,^C1u,C,Elnora,,,,No,Yes,l,loam,48.43,0.491176471,30.74,0.315605749,12.06,0.127889714,,,40,"sandstone, brick, concrete",,,No,,,,,,NA,,,NA,,NA,0.02,,0.02,loam,1.992,0.069,0.3991,0.0111,1.4737,91.23,C,Elnora,,NA,single grain,,
441,CLS38CLP77L3,Urban Observed,Subsurface,,70,120,50,,2C2,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,10,shale,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
442,CLS38CLP77L4,Urban Observed,Subsurface,,120,145,25,,2Cr,C,Elnora,,,,No,No,**R,**,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Elnora,,NA,single grain,,
443,CLS38CLP77L5,Urban Observed,Subsurface,,145,200,55,,2R,R,Elnora,,,,No,No,**R,**R,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,R,Elnora,,NA,NA,,
444,CLS38CLP78L1,Urban Observed,Surface,Surface,0,35,35,,^Au,A,Elnora,A1,35,Anthropogenic over Outwash over Residual,No,Yes,fsl,fine sandy loam,54.38,0.551521298,32.3,0.331622177,13.32,0.141251326,,,10,"sandstone, brick, slag",,,No,,,,,,NA,,,NA,,NA,0.37,0.37,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Elnora,A1,weak,fine granular structure,,
445,CLS38CLP78L2,Urban Observed,Subsurface,,35,55,20,,2C1,C,Elnora,,,,No,No,sicl,silty clay loam,,NA,,NA,,NA,,,15,,,,No,,,,,,NA,,,NA,,NA,,,,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Elnora,,NA,single grain,,
446,CLS38CLP78L3,Urban Observed,Subsurface,HR 1,55,95,40,55,2C2,C,Elnora,,,,No,No,fsl,fine sandy loam,38.49,0.390365112,43.81,0.449794661,17.7,0.187698834,,,0,,,,Yes,10YR 5/6,,,,,NA,,,NA,,NA,0.09,,0.09,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,C,Elnora,,NA,single grain,,
447,CLS38CLP78L4,Urban Observed,Subsurface,,95,140,45,,3C3,C,Elnora,,,,No,No,sicl,silty clay loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Elnora,,NA,single grain,,
448,CLS38CLP78L5,Urban Observed,Subsurface,,140,190,50,,3R,R,Elnora,,,,No,No,**R,**,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,R,Elnora,,NA,NA,,
450,CLS39CLP79L1,Urban Observed,Surface,Surface,0,30,30,,^Au,A,Elnora,A1,30,Anthropogenic over Residual,No,Yes,l,loam,26.04,0.264097363,52.96,0.543737166,21,0.222693531,,,45,"concrete, sandstone",,,No,,,,,,NA,,,NA,,NA,0.63,0.63,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Elnora,A1,weak,fine granular structure,,
451,CLS39CLP79L2,Urban Observed,Subsurface,,30,40,10,,^C1u,C,Elnora,,,,No,Yes,ls,loamy sand,,NA,,NA,,NA,,,10,concrete,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,
452,CLS39CLP79L3,Urban Observed,Subsurface,HR 1,40,140,100,40,^C2u,C,Elnora,,,,No,Yes,sl,sandy loam,69.21,0.701926978,23.84,0.24476386,6.95,0.073700954,,,25,"sandstone, brick, bituminous",,,No,,,,,,NA,,,NA,,NA,0.05,,0.05,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,C,Elnora,,NA,single grain,,
453,CLS39CLP79L4,Urban Observed,Subsurface,,140,150,10,,2Cr,C,Elnora,,,,No,No,**R,**,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Elnora,,NA,single grain,,
454,CLS39CLP80L1,Urban Observed,Surface,Surface,0,50,50,,^Au,A,Elnora,A1,50,Anthropogenic over Till over Residual,No,Yes,sil,sandy loam,52.38,0.531237323,34.39,0.353080082,13.23,0.140296925,,,25,"bituminous, sandstone",,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,100,A,Elnora,A1,weak,fine granular structure,,
455,CLS39CLP80L2,Urban Observed,Subsurface,HR 1,50,70,20,50,2C1,C,Elnora,,,,No,No,l,loam,36.15,0.36663286,47.57,0.488398357,16.28,0.172640509,,,0,,,,Yes,10YR 5/6,,,,,NA,,,NA,,NA,0.86,,0.86,loam,1.992,0.069,0.3991,0.0111,1.4737,100,C,Elnora,,NA,single grain,,
456,CLS39CLP80L3,Urban Observed,Subsurface,,70,135,65,,3C2,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 5/6,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
457,CLS39CLP80L4,Urban Observed,Subsurface,,135,200,65,,3C3,C,Elnora,,,,No,No,**R,**,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Elnora,,NA,single grain,,
459,CLS40CLP81L1,Urban Observed,Surface,Surface,0,15,15,,^A1u,A,Elnora,A1,15,Anthropogenic over Till ,No,Yes,l,loam,46.17,0.468255578,36.06,0.370225873,17.77,0.188441145,,,25,"bituminous, sandstone",,,No,,,,,,NA,,,NA,,NA,0.26,0.26,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Elnora,A1,weak,fine granular structure,,
460,CLS40CLP81L2,Urban Observed,Subsurface,,15,30,15,,^A2u,A,Elnora,A1,15,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,45,"coal, sandstone, slag",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,A,Elnora,A1,weak,fine granular structure,,
461,CLS40CLP81L3,Urban Observed,Subsurface,HR 1,30,130,100,30,^C1u,C,Elnora,,,,No,Yes,scl,sandy clay loam,59.06,0.598985801,29.05,0.29825462,11.89,0.126086957,,,15,"coal, sandstone, slag",,,No,,,,,,NA,,,NA,,NA,0.01,,0.01,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,100,C,Elnora,,NA,single grain,,
462,CLS40CLP81L4,Urban Observed,Subsurface,,130,170,40,,2C1,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 6/2; 75YR 4/6,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
463,CLS40CLP81L5,Urban Observed,Subsurface,,170,205,35,,2C2,C,Elnora,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,
464,CLS40CLP82L1,Urban Observed,Surface,Surface,0,20,20,,^A1u,A,Elnora,A1,20,Anthropogenic over Till over Residual,No,Yes,l,loam,38.92,0.394726166,42,0.431211499,19.07,0.202226935,,,30,"sandstone, bituminous",,,No,,,,,,NA,,,NA,,NA,0.57,0.57,,loam,1.992,0.069,0.3991,0.0111,1.4737,99.99,A,Elnora,A1,weak,fine granular structure,,
465,CLS40CLP82L2,Urban Observed,Subsurface,,20,38,18,,^A2u,A,Elnora,A1,18,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,35,"brick, bituminous",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,A,Elnora,A1,weak,fine granular structure,,
466,CLS40CLP82L3,Urban Observed,Subsurface,HR 1,38,100,62,38,2C1,C,Elnora,,,,No,No,sl,sandy loam,60.93,0.617951318,28.75,0.295174538,10.32,0.109437964,,,0,,,,No,,,,,,NA,,,NA,,NA,0.01,,0.01,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,C,Elnora,,NA,single grain,,
467,CLS40CLP82L4,Urban Observed,Subsurface,,100,145,45,,2C2,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,5,rounded gravels,,,Yes,10YR 6/3; 75YR 5/6,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
468,CLS40CLP82L5,Urban Observed,Subsurface,,145,175,30,,2C3,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 5/3,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
