Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
14,CLS2CLP3L5,Urban Observed,Subsurface,HR 1,140,175,35,140,^C4u,C,Hornell,,,,No,Yes,cl,clay loam,24.42,0.247667343,46.59,0.478336756,28.99,0.307423118,,,15,"ceramic, channers",,,Yes,10YR 5/8; 25Y 7/1,,,,,NA,,,NA,,NA,0.02,,0.02,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,100,C,Hornell,,moderate,thin and medium plate-like structure,,
15,CLS2CLP3L6,Urban Observed,Subsurface,,175,194,19,,2Cr,C,Hornell,,,,No,No,sil,"**paralithic shale, changes texture to silt loam",,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,
16,CLS2CLP4L1,Urban Observed,Surface,Surface,0,23,23,,^Au,A,Hornell,A1,23,Anthropogenic over Residual,No,Yes,sl,sandy loam,54.31,0.550811359,31.21,0.320431211,14.48,0.153552492,,,30,slag,,,No,,,,,,NA,,,NA,,NA,3.15,3.15,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Hornell,A1,weak,medium granular structure,,
17,CLS2CLP4L2,Urban Observed,Subsurface,,23,52,29,,^Cu,C,Hornell,,,,No,Yes,sicl,silty clay loam,,NA,,NA,,NA,,,25,"charcoal, gravel",,,Yes,10YR 5/8; 25Y 7/1,,,,,NA,,,NA,,NA,,,,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Hornell,,moderate,thin and medium plate-like structure,,
18,CLS2CLP4L3,Urban Observed,Subsurface,HR 1,52,178,126,52,2C,C,Hornell,,,,No,No,sil,silt loam,22.65,0.229716024,51.53,0.529055441,25.83,0.273913043,,,0,,,,No,,,,,,NA,,,NA,,NA,0.05,,0.05,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,100.01,C,Hornell,,moderate,thin and medium plate-like structure,,
19,CLS2CLP4L4,Urban Observed,Subsurface,,178,205,27,,2Cr,C,Hornell,,,,No,No,sil,"**paralithic shale, changes texture to silt loam",,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,
21,CLS3CLP5L1,Urban Observed,Surface,Surface,0,43,43,,^A,A,Hornell,A1,43,Anthropogenic over Glacial Till,No,Yes,l,loam,43.25,0.438640974,40.59,0.416735113,16.16,0.171367975,,,20,gravels,,,No,,,,,,NA,,,NA,,NA,2.03,2.03,,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Hornell,A1,weak,medium granular structure,,
22,CLS3CLP5L2,Urban Observed,Subsurface,,43,80,37,,^Cu,C,Hornell,,,,No,Yes,**R,**weathered brick,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Hornell,,moderate,thin and medium plate-like structure,,
23,CLS3CLP5L3,Urban Observed,Subsurface,,80,105,25,,2C1,C,Hornell,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,"brick, wood",,,No,,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,
24,CLS3CLP5L4,Urban Observed,Subsurface,HR 1,105,160,55,105,2C2,C,Hornell,,,,No,No,l,loam,29.24,0.296551724,45.9,0.471252567,24.86,0.263626723,,,0,gravels,,,Yes,10YR 6/1; 5YR 5/6,,,,,NA,,,NA,,NA,3.56,,3.56,loam,1.992,0.069,0.3991,0.0111,1.4737,100,C,Hornell,,moderate,thin and medium plate-like structure,,
