Texture,Sa,Si,Cl,BD,Type,Kfs,Citation,Group
Silt loam,22,55,23,NA,SBK,0.25,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Sandy loam,62,27,11,NA,SBK,0.93,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Silt loam,23,58,19,NA,SBK,0.37,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Loam,44,37,19,NA,SBK,0.63,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Silt loam,14,63,23,NA,SBK,0.23,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Clay loam,24,47,29,NA,SBK,0.3,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Silt loam,27,51,22,NA,SBK,0.18,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Loam,42,33,25,NA,SBK,0.31,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Loam,32,43,25,NA,GR,0.27,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Clay loam,32,39,29,NA,GR,0.23,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Silt loam,18,60,22,NA,GR,0.22,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Silt loam,22,57,21,NA,GR,0.3,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Clay loam,30,41,29,NA,GR,0.24,Hamilton & Waddington (1999),(b)RF-with-structure-no-rock
Sand,94,3,3,NA,SG,12.97,Pitt et al. (1999),(b)RF-with-structure-no-rock
Clay,15,15,70,NA,SBK,0.32,Pitt et al. (1999),(b)RF-with-structure-no-rock
Sand,89,11,0,1.48,SG,340.18,Gregory et al. (2006),(a)ROSETTA
Sand,96,2,2,1.52,SG,872,Gregory et al. (2006),(a)ROSETTA
Sand,96,2,2,1.47,SG,872,Gregory et al. (2006),(a)ROSETTA
Loam,28,47,25,NA,PL,13.24,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,18,59,23,NA,PL,13.25,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,22,55,23,NA,SBK,13.6,Hamilton & Waddington (1999),(a)ROSETTA
Sandy loam,62,27,11,NA,SBK,35.02,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,23,58,19,NA,SBK,16.28,Hamilton & Waddington (1999),(a)ROSETTA
Loam,44,37,19,NA,SBK,10.12,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,14,63,23,NA,SBK,13.02,Hamilton & Waddington (1999),(a)ROSETTA
Clay loam,24,47,29,NA,SBK,12.42,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,27,51,22,NA,SBK,14.56,Hamilton & Waddington (1999),(a)ROSETTA
Loam,42,33,25,NA,SBK,7.21,Hamilton & Waddington (1999),(a)ROSETTA
Loam,32,43,25,NA,GR,12.58,Hamilton & Waddington (1999),(a)ROSETTA
Clay loam,32,39,29,NA,GR,9.68,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,18,60,22,NA,GR,13.65,Hamilton & Waddington (1999),(a)ROSETTA
Silt loam,22,57,21,NA,GR,14.57,Hamilton & Waddington (1999),(a)ROSETTA
Clay loam,30,41,29,NA,GR,11.35,Hamilton & Waddington (1999),(a)ROSETTA
Sand,94,3,3,NA,SG,629.24,Pitt et al. (1999),(a)ROSETTA
Clay,15,15,70,NA,SBK,16.32,Pitt et al. (1999),(a)ROSETTA
